No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
713|WISEA J105058.35-440135.2|162.74314 | -44.02646 |GPair| 33561| 0.111947 |SUN |19.6 |  0.000|7|0|20|4|1|0|0
714|WISEA J105151.69+572636.4|162.96537 |  57.44336 |GPair|485664| 1.620000 |SMU |22.5I|  0.000|45|2|61|13|11|0|0
715|UGC 05946|163.00778 |  79.15045 |GTrpl||||14.3 |  0.000|12|1|2|2|0|1|0
716|Bolocam LE 1100.16|163.11292 |  57.42111 |GPair|642156| 2.142000 |UUN |23.9I|  0.000|28|3|30|3|4|0|0
717|WISEA J105230.71+572209.4|163.12795 |  57.36932 |GPair|782458| 2.610000 |UUN |22.7I|  0.000|44|3|73|11|8|0|0
718|CGCG 095-055|163.21142 |  16.98544 |GPair| 17478| 0.058300 |SUN |15.7 |  0.000|19|0|14|10|4|0|0
719|ISO_LHSS J105326+57140|163.36122 |  57.23482 |G| 69222| 0.230900 |UUN |19.00|  0.000|9|0|9|6|1|0|0
720|KPG 257|163.62625 |  17.31417 |GPair|  1108| 0.003695 |S1L |12.7 |  0.000|7|0|0|1|1|0|0
721|GALEXASC J105708.36-201012.6  |164.28484 | -20.17019 |GPair|  3699| 0.012337 |S1L |     |  0.000|2|0|4|2|1|0|0
722|CGCG 095-077|164.43458 |  15.30083 |GPair||||15.4 |  0.000|8|0|4|4|0|0|2
723|IRAS 10539+8414|164.86417 |  83.96861 |GPair||||17.5 |  0.000|6|0|7|3|0|0|0
724|UGC 06073|164.94167 |  17.65286 |GPair|  8832| 0.029460 |SUN |15.3 |  0.000|16|2|3|4|1|2|5
725|UGC 06081|165.08000 |  10.04722 |GPair| 10786| 0.035978 |UUN |14.8 |  0.000|24|2|4|4|1|5|0
726|CGCG 038-080|165.08083 |   2.92722 |GPair||||15.5 |  0.000|4|0|2|3|0|0|0
727|NGC 3492|165.23750 |  10.50500 |GPair| 10874| 0.036272 |SUN |14.17|  0.000|25|2|13|3|4|5|0
728|MCG -02-28-039|165.37458 | -12.44806 |GPair|  7720| 0.025751 |SUN |15   |  0.000|13|2|6|3|1|2|0
729|CGCG 241-060|165.45588 |  44.44809 |GPair||||14.7 |  0.000|8|0|7|5|0|0|2
730|ARP 148|165.97478 |  40.84998 |GPair| 10350| 0.034524 |SUN |15   |  0.000|168|8|72|35|18|3|0
731|CGCG 213-024|165.98241 |  43.48421 |GPair| 14851| 0.049538 |SUN |14.6 |  0.000|12|0|2|4|6|1|3
732|AM 1101-322|165.99660 | -32.61346 |GPair| 19543| 0.065188 |SUN |     |  0.000|4|0|21|4|2|0|1
733|NGC 3509|166.09821 |   4.82863 |G|  7673| 0.025594 |SLS |13.53|  0.000|93|5|70|26|19|10|0
734|MRK 0421|166.11381 |  38.20883 |G|  9000| 0.030021 |SUN |12.8V|  0.000|1553|17|404|146|231|10|0
735|UGC 06136|166.15294 |  45.98531 |G|  7497| 0.025007 |SLS |14.6g|  0.000|46|1|67|22|14|13|0
736|ESO 502-IG 015|166.31104 | -23.84517 |GPair|  3768| 0.012568 |S1L |14.73|  0.000|17|1|15|9|5|14|1
737|2dFGRS N165Z189|166.58092 |  -3.76186 |GPair| 20238| 0.067508 |SUN |17.72|  0.000|1|0|2|2|2|0|0
738|CGCG 066-113|166.64712 |  13.37446 |G|  7661| 0.025555 |SLS |15.6g|  0.000|25|0|68|11|9|10|0
739|CGCG 095-111|166.65333 |  15.09333 |GPair| 10007| 0.033380 |S1L |15.5 |  0.000|5|0|2|3|1|0|4
740|CGCG 314-006|166.80583 |  65.10000 |GPair|  9593| 0.032000 |SUN |15.0 |  0.000|6|0|6|4|2|0|0
741|AM 1105-700|166.81427 | -70.42087 |GPair|  7689| 0.025647 |S1L |     |  0.000|4|0|1|2|2|0|0
742|MCG +01-29-001|166.88417 |   2.74444 |GPair||||17.07|  0.000|8|0|4|3|0|1|1
743|KPG 270|167.22958 |   6.31750 |GPair| 13226| 0.044117 |S1L |14.4 |  0.000|6|0|1|2|1|0|1
744|ARP 301|167.47000 |  24.25972 |GPair|  6173| 0.020591 |SUN |14.3 |  0.000|14|1|1|3|1|0|5
745|CGCG 039-034|167.60083 |   4.82500 |GPair|  9062| 0.030228 |SUN |14.0 |  0.000|23|2|6|5|3|0|0
746|MAPS-NGP O_319_0167113|167.72617 |  31.47091 |GPair||||17.6b|  0.000|2|0|3|3|0|0|0
747|UGC 06224|167.80471 |  28.69633 |GPair|  8556| 0.028540 |SUN |15.4 |  0.000|23|1|5|6|1|1|0
748|NGC 3573|167.82739 | -36.87557 |G|  2491| 0.008308 |S1L |13.3 |  0.000|68|3|65|19|18|18|0
749|NGC 3563|167.85599 |  26.96321 |GPair|  9923| 0.033100 |SUN |14.6 |  0.000|21|1|2|3|3|0|3
750|CGCG 039-060|167.88625 |   7.51056 |GPair||||15.5 |  0.000|5|0|6|3|0|0|0
751|HIPASS J1111-47|167.97000 | -47.94222 |GPair|  4280| 0.014276 |S1L |     |  0.000|2|0|1|1|1|0|0
752|SBS 1110+567|168.33161 |  56.47828 |GPair| 10195| 0.034007 |SUN |15.3 |  0.000|9|0|7|6|1|0|2
753|NGC 3588|168.51096 |  20.38835 |GPair|  8050| 0.026852 |SUN |15.3 |  0.000|15|1|15|3|3|2|0
754|CGCG 039-087|168.65059 |   7.99846 |G||||15.6 |  0.000|3|0|22|5|0|0|0
755|MCG +09-19-015|168.83225 |  54.38717 |GPair||||17.03|  0.000|8|0|3|3|0|1|2
756|CGCG 011-034|168.84421 |   0.11139 |GPair||||15.2 |  0.000|4|0|2|2|0|0|3
757|CGCG 156-041|169.05649 |  29.38525 |G|  8782| 0.029294 |SLS |14.8g|  0.000|57|1|62|21|21|10|1
758|CGCG 156-046|169.14564 |  29.24944 |GPair| 14690| 0.049000 |SUN |15.1 |  0.000|18|0|5|3|1|0|0
759|HIPASS J1118-26|169.54292 | -26.05139 |GPair|  2042| 0.006810 |S1L |     |  0.000|3|0|1|1|1|0|0
760|CGCG 039-111|169.57208 |   3.86444 |GPair|  8333| 0.027796 |S1L |15.1 |  0.000|10|0|7|5|2|1|0
761|CGCG 126-026|169.65178 |  24.86793 |G|  8094| 0.027000 |UUN |15.7 |  0.000|19|0|7|9|5|2|0
762|ESO 319-IG 012|169.74806 | -40.00375 |GPair| 10641| 0.035495 |SUN |14.93|  0.000|11|1|6|4|1|1|0
763|ARP 132|169.85458 |  -3.09222 |GPair|  7765| 0.025900 |S1L |15.5 |  0.000|10|1|2|3|3|0|0
764|IC 2722|169.93567 |  13.96331 |GTrpl| 20506| 0.068400 |UUN |16.9g|  0.000|2|0|1|3|1|0|0
765|NGC 3638|170.04183 |  -8.10568 |G|  7465| 0.024901 |SUN |14.18|  0.000|27|1|37|15|11|6|0
