No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4806|WISEA J143837.07+585352.0|219.65446 |  58.89780 |QSO|906150| 3.022589 |SLS |20.2g|  0.000|14|0|18|5|7|4|0
4807|WISEA J143840.67+340216.2|219.66996 |  34.03764 |G|903575| 3.014000 |PUN |     |  0.000|1|0|12|2|2|0|0
4808|WISEA J143842.54+353949.2|219.67727 |  35.66368 |G|904174| 3.016000 |PUN |22.2g|  0.000|2|0|37|4|1|4|0
4809|WISEA J143846.61+342539.4|219.69422 |  34.42763 |G|908071| 3.029000 |PUN |22.9g|  0.000|1|0|47|5|1|4|0
4810|WISEA J143847.27+352633.2|219.69697 |  35.44258 |G|912568| 3.044000 |PUN |22.4g|  0.000|2|0|37|4|1|4|0
4811|WISEA J143849.86+341633.5|219.70775 |  34.27598 |G|905074| 3.019000 |PUN |22.1g|  0.000|2|0|37|4|1|4|0
4812|SDSS J143853.45+333040.0|219.72273 |  33.51114 |*|912166| 3.042657 |SLS |21.6g|  0.000|9|0|15|4|3|4|0
4813|WISEA J143857.11+231815.5|219.73797 |  23.30431 |*|900298| 3.003069 |SLS |19.4g|  0.000|5|0|17|3|1|4|0
4814|WISEA J143914.52+272946.0|219.81053 |  27.49611 |QSO|907452| 3.026934 |SLS |19.6g|  0.000|21|0|21|7|7|4|0
4815|WISEA J143915.55+312925.1|219.81480 |  31.49038 |*|913617| 3.047499 |SLS |20.1g|  0.000|12|0|17|5|5|4|0
4816|WISEA J143917.16+095839.0|219.82158 |   9.97748 |QSO|909205| 3.032781 |SLS |20.0g|  0.000|26|0|42|6|12|8|0
4817|WISEA J143930.76+221122.3|219.87820 |  22.18955 |QSO|910147| 3.035923 |SLS |19.8g|  0.000|22|0|18|7|12|4|0
4818|WISEA J143937.25+252041.4|219.90546 |  25.34481 |*|912868| 3.045000 |PUN |21.6g|  0.000|3|0|17|2|1|4|0
4819|WISEA J143950.86+185128.8|219.96193 |  18.85801 |QSO|902000| 3.008748 |SLS |20.1g|  0.000|14|0|21|6|6|4|0
4820|SDSS J143958.52-001800.8|219.99390 |  -0.30024 |*|908122| 3.029170 |SLS |21.9g|  0.000|0|0|13|3|1|4|0
4821|WISEA J144000.09+224035.2|220.00033 |  22.67646 |*|912868| 3.045000 |PUN |21.8g|  0.000|2|0|17|2|1|4|0
4822|WISEA J144009.52+360112.1|220.03968 |  36.02004 |*|900876| 3.005000 |PUN |17.0g|  0.000|3|0|27|4|1|4|0
